keyword,cluster,page,source,business_fit,search_volume_us,cpc_usd,paid_competition,paid_competition_index,seo_kd,metric_status
signs of a good first date,dating,TBD,round3 editorial seed,75,110,0.04,LOW,10,not queried,available
he stopped texting but still likes my posts,distance,TBD,round3 editorial seed,85,,,,,not queried,unavailable (not zero)
why do guys pull away,distance,TBD,round3 editorial seed,85,260,0.03,LOW,18,not queried,available
why men pull away,distance,TBD,round3 editorial seed,85,320,0.16,LOW,15,not queried,available
he is distant,distance,TBD,round3 editorial seed,85,20,,LOW,0,not queried,available
he is acting different,distance,TBD,round3 editorial seed,85,10,,LOW,0,not queried,available
he ignores me,distance,TBD,round3 editorial seed,85,480,,LOW,0,not queried,available
why is he ignoring me,distance,TBD,round3 editorial seed,85,320,,LOW,1,not queried,available
left on delivered,distance,TBD,round3 editorial seed,85,590,0.04,LOW,0,not queried,available
left on read,distance,TBD,round3 editorial seed,85,3600,0.69,LOW,2,not queried,available
why do guys text less after a while,distance,TBD,round3 editorial seed,85,10,,LOW,0,not queried,available
he texts me everyday,distance,TBD,round3 editorial seed,85,140,,LOW,0,not queried,available
he texts me but never asks me out,distance,TBD,round3 editorial seed,85,,,,,not queried,unavailable (not zero)
he says he is busy,distance,TBD,round3 editorial seed,85,10,,LOW,0,not queried,available
he says he is not ready for a relationship,distance,TBD,round3 editorial seed,85,50,,LOW,0,not queried,available
he needs space,distance,TBD,round3 editorial seed,85,20,,LOW,2,not queried,available
how to give him space,distance,TBD,round3 editorial seed,85,40,0.05,LOW,3,not queried,available
when to stop texting a guy,distance,TBD,round3 editorial seed,85,30,,LOW,12,not queried,available
inconsistent communication,patterns,TBD,round3 editorial seed,75,110,,LOW,0,not queried,available
inconsistent behavior in relationships,patterns,TBD,round3 editorial seed,75,,,,,not queried,unavailable (not zero)
emotional unavailability,patterns,TBD,round3 editorial seed,75,18100,0.18,LOW,6,not queried,available
unrequited love,patterns,TBD,round3 editorial seed,75,60500,0.31,LOW,1,not queried,available
unreciprocated love,patterns,TBD,round3 editorial seed,75,60500,0.31,LOW,1,not queried,available
feeling unwanted in a relationship,patterns,TBD,round3 editorial seed,75,170,1.93,LOW,5,not queried,available
feeling disconnected from partner,patterns,TBD,round3 editorial seed,75,720,0.9,LOW,12,not queried,available
feeling lonely in a relationship,patterns,TBD,round3 editorial seed,75,1000,1.41,LOW,4,not queried,available
feeling unappreciated in a relationship,patterns,TBD,round3 editorial seed,75,70,,LOW,4,not queried,available
emotional neglect in relationships,patterns,TBD,round3 editorial seed,75,720,1.03,LOW,3,not queried,available
lack of affection in a relationship,patterns,TBD,round3 editorial seed,75,140,0.05,LOW,7,not queried,available
lack of communication in a relationship,patterns,TBD,round3 editorial seed,75,390,1.43,LOW,4,not queried,available
poor communication in relationships,patterns,TBD,round3 editorial seed,75,320,1.25,LOW,26,not queried,available
relationship doubts,patterns,TBD,round3 editorial seed,75,390,0.09,LOW,2,not queried,available
relationship compatibility signs,patterns,TBD,round3 editorial seed,75,30,1.57,LOW,4,not queried,available
healthy relationship signs,patterns,TBD,round3 editorial seed,75,1900,0.8,LOW,16,not queried,available
unhealthy relationship signs,patterns,TBD,round3 editorial seed,75,1600,1.32,LOW,17,not queried,available
effort in a relationship,patterns,TBD,round3 editorial seed,75,320,,LOW,0,not queried,available
relationship deal breakers,patterns,TBD,round3 editorial seed,75,5400,0.05,LOW,24,not queried,available
relationship needs,patterns,TBD,round3 editorial seed,75,880,0.39,LOW,4,not queried,available
reassurance in a relationship,patterns,TBD,round3 editorial seed,75,1900,0.03,LOW,0,not queried,available
should i break up with my boyfriend,breakup,TBD,round3 editorial seed,75,2400,0.86,LOW,18,not queried,available
when to end a relationship,breakup,TBD,round3 editorial seed,75,880,0.21,LOW,31,not queried,available
signs a relationship is over,breakup,TBD,round3 editorial seed,75,880,0.28,LOW,31,not queried,available
how to end a relationship,breakup,TBD,round3 editorial seed,75,880,0.25,LOW,17,not queried,available
how to move on from someone,breakup,TBD,round3 editorial seed,75,880,0.86,LOW,30,not queried,available
how to get over a crush,breakup,TBD,round3 editorial seed,75,3600,0.15,LOW,12,not queried,available
how to stop liking someone,breakup,TBD,round3 editorial seed,75,1600,0.03,LOW,6,not queried,available
how to stop thinking about someone,breakup,TBD,round3 editorial seed,75,4400,1.41,LOW,8,not queried,available
how to stop chasing someone,breakup,TBD,round3 editorial seed,75,20,,LOW,1,not queried,available
how to detach from someone,breakup,TBD,round3 editorial seed,75,2900,1.38,LOW,19,not queried,available
how to let go of someone,breakup,TBD,round3 editorial seed,75,2400,0.74,MEDIUM,35,not queried,available
how to get closure,breakup,TBD,round3 editorial seed,75,170,,LOW,2,not queried,available
why do i miss my ex,breakup,TBD,round3 editorial seed,75,480,0.13,LOW,3,not queried,available
my ex texted me,breakup,TBD,round3 editorial seed,75,140,,LOW,0,not queried,available
my ex wants to be friends,breakup,TBD,round3 editorial seed,75,110,0.04,LOW,10,not queried,available
signs your ex is testing you,breakup,TBD,round3 editorial seed,75,20,,LOW,0,not queried,available
how to know if your ex still loves you,breakup,TBD,round3 editorial seed,75,390,1.42,LOW,10,not queried,available
flirting signs,textmeaning,TBD,round3 editorial seed,85,590,0.07,LOW,6,not queried,available
flirting examples,textmeaning,TBD,round3 editorial seed,85,1900,0.05,LOW,3,not queried,available
banter flirting,textmeaning,TBD,round3 editorial seed,85,70,,LOW,0,not queried,available
playful teasing,textmeaning,TBD,round3 editorial seed,85,720,,LOW,0,not queried,available
flirty banter,textmeaning,TBD,round3 editorial seed,85,480,,LOW,0,not queried,available
texting chemistry signs,textmeaning,TBD,round3 editorial seed,85,,,,,not queried,unavailable (not zero)
texting green flags,textmeaning,TBD,round3 editorial seed,85,,,,,not queried,unavailable (not zero)
texting styles,textmeaning,TBD,round3 editorial seed,85,3600,1.53,LOW,0,not queried,available
romantic attraction,textmeaning,TBD,round3 editorial seed,85,2400,0.03,LOW,0,not queried,available
romantic interest,textmeaning,TBD,round3 editorial seed,85,1600,,LOW,0,not queried,available
emotional attraction,textmeaning,TBD,round3 editorial seed,85,720,0.11,LOW,1,not queried,available
emotional connection signs,textmeaning,TBD,round3 editorial seed,85,10,,LOW,14,not queried,available
chemistry between two people,textmeaning,TBD,round3 editorial seed,85,480,0.05,LOW,3,not queried,available
romantic chemistry,textmeaning,TBD,round3 editorial seed,85,320,0.06,LOW,0,not queried,available
platonic vs romantic,textmeaning,TBD,round3 editorial seed,85,1600,0.03,LOW,0,not queried,available
pet names meaning,textmeaning,TBD,round3 editorial seed,85,1600,0.03,LOW,0,not queried,available
good morning text,textmeaning,TBD,round3 editorial seed,85,4400,0.07,LOW,27,not queried,available
good night text,textmeaning,TBD,round3 editorial seed,85,1300,0.07,LOW,17,not queried,available
thinking of you text,textmeaning,TBD,round3 editorial seed,85,480,0.26,LOW,6,not queried,available
miss you text,textmeaning,TBD,round3 editorial seed,85,210,0.04,LOW,10,not queried,available
heart emoji meaning from a guy,textmeaning,TBD,round3 editorial seed,85,20,,LOW,1,not queried,available
he calls me cute,textmeaning,TBD,round3 editorial seed,85,70,,LOW,0,not queried,available
he calls me beautiful,textmeaning,TBD,round3 editorial seed,85,140,,LOW,0,not queried,available
signs of aesthetic attraction,interest,TBD,Google autocomplete: signs of attraction a,85,,,,,not queried,unavailable (not zero)
conversation starters adults,conversation,TBD,Google autocomplete: conversation starters a,75,720,0.58,MEDIUM,54,not queried,available
how to respond to heyy,responses,TBD,Google autocomplete: how to respond to hey,85,110,,LOW,0,not queried,available
alternative relationship labels,dating,TBD,Google autocomplete: relationship labels a,75,,,,,not queried,unavailable (not zero)
he distanced himself,distance,TBD,Google autocomplete: he is distant h,85,10,,LOW,0,not queried,available
bad relationship signs,patterns,TBD,Google autocomplete: unhealthy relationship signs,75,260,0.05,LOW,23,not queried,available
how to avoid chasing women,breakup,TBD,Google autocomplete: how to stop chasing someone w,75,,,,,not queried,unavailable (not zero)
aggressive flirting examples,textmeaning,TBD,Google autocomplete: flirting examples a,85,30,,LOW,0,not queried,available
talking stage questions to ask a boy,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: talking stage questions,80,,,,,not queried,unavailable (not zero)
why ghosters always come back,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: why do ghosters come back,80,30,,LOW,1,not queried,available
texting after a second date,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting after second date a,80,10,,LOW,0,not queried,available
is she flirting with him,backlog-interest,TBD,unqueried backlog; Google autocomplete: is he flirting h,80,,,,,not queried,unavailable (not zero)
clarity after a relationship,backlog-effort,TBD,unqueried backlog; Google autocomplete: relationship clarity a,80,,,,,not queried,unavailable (not zero)
future faking examples in relationships,backlog-signals,TBD,unqueried backlog; Google autocomplete: future faking examples,80,20,,LOW,5,not queried,available
signs your ex misses you deeply,backlog-ex,TBD,unqueried backlog; Google autocomplete: signs your ex misses you,80,,,,,not queried,unavailable (not zero)
boyfriend ignoring my texts and calls,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: boyfriend ignoring texts,80,,,,,not queried,unavailable (not zero)
ai chat analyzer instagram,backlog-tools,TBD,unqueried backlog; Google autocomplete: ai chat analyzer,95,10,,,,not queried,available
how do you know a guy is interested through text,backlog-backlog-interest,/does-he-like-me-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: signs a guy is interested through text h,80,,,,,not queried,unavailable (not zero)
is he losing interest or just comfortable,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: is he losing interest,80,10,,LOW,0,not queried,available
why is he ignoring my texts and calls,backlog-backlog-mixed,/mixed-signals-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: why does he ignore my texts,80,,,,,not queried,unavailable (not zero)
how should communication be in a relationship,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: situationship communication,80,10,,LOW,16,not queried,available
why is an ex hot and cold,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: ex hot and cold a,80,,,,,not queried,unavailable (not zero)
why do i always initiate the conversation,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: why do i always initiate conversations a,80,,,,,not queried,unavailable (not zero)
signs of alterous attraction,interest,TBD,Google autocomplete: signs of attraction a,85,,,,,not queried,unavailable (not zero)
conversation starters app,conversation,TBD,Google autocomplete: conversation starters a,75,50,,LOW,17,not queried,available
how to respond to heyyy,responses,TBD,Google autocomplete: how to respond to hey,85,70,,LOW,0,not queried,available
asking dating intentions,dating,TBD,Google autocomplete: dating intentions a,75,,,,,not queried,unavailable (not zero)
he distant himself,distance,TBD,Google autocomplete: he is distant h,85,10,,LOW,0,not queried,available
constant relationship doubts,patterns,TBD,Google autocomplete: relationship doubts,75,10,,,,not queried,available
how to get a closure,breakup,TBD,Google autocomplete: how to get closure a,75,170,,LOW,2,not queried,available
awkward flirting examples,textmeaning,TBD,Google autocomplete: flirting examples a,85,,,,,not queried,unavailable (not zero)
talking stage questions to ask a girl,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: talking stage,80,,,,,not queried,unavailable (not zero)
am i being ghosted on hinge,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: am i being ghosted h,80,,,,,not queried,unavailable (not zero)
texting after first date etiquette,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting after first date,80,10,,LOW,1,not queried,available
signs he secretly wants you,backlog-interest,TBD,unqueried backlog; Google autocomplete: signs he secretly likes you,80,170,0.03,LOW,5,not queried,available
communication barriers in relationships,backlog-effort,TBD,unqueried backlog; Google autocomplete: communication problems in relationships,80,20,4.68,LOW,3,not queried,available
future faking in long-term relationship,backlog-signals,TBD,unqueried backlog; Google autocomplete: future faking,80,30,,LOW,2,not queried,available
what is closure after a breakup,backlog-ex,TBD,unqueried backlog; Google autocomplete: closure after breakup h,80,20,0.06,LOW,7,not queried,available
boyfriend stopped texting me good morning,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: boyfriend stopped texting,80,,,,,not queried,unavailable (not zero)
ai chat analyzer online,backlog-tools,TBD,unqueried backlog; Google autocomplete: ai chat analyzer,95,,,,,not queried,unavailable (not zero)
how to know a guy is into you through text,backlog-backlog-interest,/does-he-like-me-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: signs a guy is interested through text h,80,10,0.04,MEDIUM,43,not queried,available
is he pulling away or losing interest,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: is he losing interest a,80,10,,,,not queried,available
why is he ignoring my texts on purpose,backlog-backlog-mixed,/mixed-signals-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: why does he ignore my texts,80,,,,,not queried,unavailable (not zero)
how should i act in a situationship,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: am i in a situationship a,80,,,,,not queried,unavailable (not zero)
why is my ex drunk texting me,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: ex drunk texting,80,,,,,not queried,unavailable (not zero)
why do i always text him first,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: i always text first w,80,10,,LOW,0,not queried,available
signs of attraction wikihow,interest,TBD,Google autocomplete: signs of attraction w,85,,,,,not queried,unavailable (not zero)
conversation starters hinge,conversation,TBD,Google autocomplete: conversation starters h,75,90,0.05,LOW,13,not queried,available
how to respond with rejection,responses,TBD,Google autocomplete: how to respond to rejection w,85,,,,,not queried,unavailable (not zero)
casual dating ads,dating,TBD,Google autocomplete: casual dating a,75,,,,,not queried,unavailable (not zero)
he was distant,distance,TBD,Google autocomplete: he is distant w,85,,,,,not queried,unavailable (not zero)
emotional unavailability examples,patterns,TBD,Google autocomplete: emotional unavailability,75,10,,LOW,24,not queried,available
how to stop chasing her,breakup,TBD,Google autocomplete: how to stop chasing someone h,75,10,,LOW,0,not queried,available
banter and flirting,textmeaning,TBD,Google autocomplete: banter flirting a,85,,,,,not queried,unavailable (not zero)
talking stage questions to ask a guy,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: talking stage,80,720,0.05,LOW,30,not queried,available
being ghosted after months of dating,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: being ghosted a,80,10,,LOW,0,not queried,available
texting after first date hinge,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting after first date,80,,,,,not queried,unavailable (not zero)
signs he wants serious relationship,backlog-interest,TBD,unqueried backlog; Google autocomplete: signs he wants something serious,80,10,0.05,MEDIUM,50,not queried,available
communication challenges in relationships,backlog-effort,TBD,unqueried backlog; Google autocomplete: communication problems in relationships,80,10,,LOW,7,not queried,available
green flags in a men,backlog-signals,TBD,unqueried backlog; Google autocomplete: green flags in men a,80,10,,LOW,0,not queried,available
when an ex says happy birthday,backlog-ex,TBD,unqueried backlog; Google autocomplete: ex says happy birthday a,80,,,,,not queried,unavailable (not zero)
boyfriend stops texting me at night,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: boyfriend stopped texting,80,,,,,not queried,unavailable (not zero)
ai chat analyzer relationship,backlog-tools,TBD,unqueried backlog; Google autocomplete: ai chat analyzer,95,10,,LOW,3,not queried,available
how to know if a guy is interested through text,backlog-backlog-interest,/does-he-like-me-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: signs a guy is interested through text,80,10,,LOW,3,not queried,available
one word reply to how are you,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: one word replies h,80,,,,,not queried,unavailable (not zero)
do i like him or am i just lonely,backlog-backlog-mixed,/mixed-signals-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: is he interested or just lonely,80,40,,LOW,0,not queried,available
how to set boundaries in a situationship,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: situationship boundaries w,80,10,,LOW,0,not queried,available
why is my ex hot and cold,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: ex hot and cold h,80,10,,LOW,0,not queried,available
why do people start conversations with me,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: why do i always initiate conversations w,80,,,,,not queried,unavailable (not zero)
signs of attraction wlw,interest,TBD,Google autocomplete: signs of attraction w,85,,,,,not queried,unavailable (not zero)
conversation starters husband,conversation,TBD,Google autocomplete: conversation starters h,75,40,1.18,MEDIUM,48,not queried,available
is no response a response,responses,TBD,Google autocomplete: how to respond to no response a,85,110,,LOW,0,not queried,available
casual dating apps,dating,TBD,Google autocomplete: casual dating a,75,2900,4.91,MEDIUM,39,not queried,available
she's acting distant,distance,TBD,Google autocomplete: he is distant a,85,10,,LOW,0,not queried,available
emotional unavailability meaning,patterns,TBD,Google autocomplete: emotional unavailability,75,480,0.05,LOW,9,not queried,available
how to stop chasing him,breakup,TBD,Google autocomplete: how to stop chasing someone h,75,20,,LOW,2,not queried,available
banter flirting definition,textmeaning,TBD,Google autocomplete: banter flirting,85,,,,,not queried,unavailable (not zero)
talking stage questions to ask your crush,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: talking stage questions a,80,,,,,not queried,unavailable (not zero)
can you come back from ghosting,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: why do ghosters come back h,80,10,,LOW,0,not queried,available
texting chemistry vs in person,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting chemistry,80,,,,,not queried,unavailable (not zero)
signs if he likes you,backlog-interest,TBD,unqueried backlog; Google autocomplete: signs a guy likes you a,80,10,,LOW,0,not queried,available
communication difficulties in relationships,backlog-effort,TBD,unqueried backlog; Google autocomplete: communication problems in relationships,80,390,3.55,LOW,18,not queried,available
green flags in dating apps,backlog-signals,TBD,unqueried backlog; Google autocomplete: green flags in a relationship a,80,,,,,not queried,unavailable (not zero)
3 days no contact rule after breakup,backlog-ex,TBD,unqueried backlog; Google autocomplete: no contact rule after breakup,80,10,,LOW,0,not queried,available
fun questions for long distance relationships,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: long distance relationship questions h,80,10,,HIGH,86,not queried,available
ai chat history analysis,backlog-tools,TBD,unqueried backlog; Google autocomplete: ai chat analyzer h,95,,,,,not queried,unavailable (not zero)
how to tell if a guy is interested over text,backlog-backlog-interest,/does-he-like-me-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: signs a guy is interested through text a,80,10,,LOW,11,not queried,available
signs he is pulling away from you,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: signs he is pulling away,80,10,0.07,LOW,30,not queried,available
he left me on delivered for a whole day,backlog-backlog-mixed,/mixed-signals-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: he leaves me on delivered a,80,,,,,not queried,unavailable (not zero)
is my situationship in love with me,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: does my situationship like me w,80,10,,LOW,21,not queried,available
why is my ex husband texting me,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: why is my ex texting me h,80,,,,,not queried,unavailable (not zero)
why don't guys text back right away,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: he replies but never initiates,80,10,0.03,LOW,12,not queried,available
signs of attraction women,interest,TBD,Google autocomplete: signs of attraction w,85,320,0.08,LOW,10,not queried,available
conversation starters hypotheticals,conversation,TBD,Google autocomplete: conversation starters h,75,,,,,not queried,unavailable (not zero)
how to ask to be exclusive,responses,TBD,Google autocomplete: how to ask are we exclusive a,85,30,,LOW,0,not queried,available
casual dating hinge,dating,TBD,Google autocomplete: casual dating h,75,,,,,not queried,unavailable (not zero)
boyfriend is acting distant,distance,TBD,Google autocomplete: he is distant a,85,10,0.07,LOW,20,not queried,available
emotional unavailability signs,patterns,TBD,Google autocomplete: emotional unavailability,75,720,0.04,LOW,14,not queried,available
how to stop chasing husband,breakup,TBD,Google autocomplete: how to stop chasing someone h,75,,,,,not queried,unavailable (not zero)
banter flirting examples,textmeaning,TBD,Google autocomplete: banter flirting,85,30,,LOW,1,not queried,available
talking stage red flags in a woman,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: talking stage red flags,80,,,,,not queried,unavailable (not zero)
do ghosters come back after months,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: why do ghosters come back,80,10,,LOW,0,not queried,available
texting etiquette when first dating,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting etiquette dating,80,10,,LOW,0,not queried,available
signs she is catching feelings,backlog-interest,TBD,unqueried backlog; Google autocomplete: signs he is catching feelings,80,10,,LOW,0,not queried,available
communication issues in relationships,backlog-effort,TBD,unqueried backlog; Google autocomplete: communication problems in relationships,80,390,3.55,LOW,18,not queried,available
green flags in guys apartment,backlog-signals,TBD,unqueried backlog; Google autocomplete: green flags in men a,80,,,,,not queried,unavailable (not zero)
can i wish my ex happy birthday,backlog-ex,TBD,unqueried backlog; Google autocomplete: ex says happy birthday a,80,10,,LOW,0,not queried,available
