keyword,cluster,page,source,business_fit,search_volume_us,cpc_usd,paid_competition,paid_competition_index,seo_kd,metric_status,screening_status
unrequited love definition,patterns,TBD,Google autocomplete: unrequited love,75,1900,0.05,LOW,2,not queried,available,有量候选，KD未查
love and chemistry,textmeaning,TBD,Google autocomplete: romantic chemistry a,85,1900,0.42,LOW,1,not queried,available,有量候选，KD未查
love with chemistry,textmeaning,TBD,Google autocomplete: romantic chemistry w,85,1900,0.42,LOW,1,not queried,available,有量候选，KD未查
exclusive relationship meaning,dating,TBD,Google autocomplete: exclusive relationship,75,1900,0.24,LOW,4,not queried,available,有量候选，KD未查
conversation starters with your crush,conversation,TBD,round3 editorial seed,75,1600,0.05,LOW,27,not queried,available,有量候选，KD未查
what to talk about with your boyfriend,conversation,TBD,round3 editorial seed,75,1600,0.04,LOW,28,not queried,available,有量候选，KD未查
how to ask a guy out,conversation,TBD,round3 editorial seed,75,1600,0.05,LOW,1,not queried,available,有量候选，KD未查
dating intentions,dating,TBD,round3 editorial seed,75,1600,3.46,LOW,4,not queried,available,已进行哥飞SERP精评，见shortlist.csv
friends with benefits rules,dating,TBD,round3 editorial seed,75,1600,1.59,LOW,11,not queried,available,有量候选，KD未查
unhealthy relationship signs,patterns,TBD,round3 editorial seed,75,1600,1.32,LOW,17,not queried,available,有量候选，KD未查
how to stop liking someone,breakup,TBD,round3 editorial seed,75,1600,0.03,LOW,6,not queried,available,有量候选，KD未查
romantic interest,textmeaning,TBD,round3 editorial seed,85,1600,,LOW,0,not queried,available,有量候选，KD未查
platonic vs romantic,textmeaning,TBD,round3 editorial seed,85,1600,0.03,LOW,0,not queried,available,有量候选，KD未查
pet names meaning,textmeaning,TBD,round3 editorial seed,85,1600,0.03,LOW,0,not queried,available,有量候选，KD未查
conversation starters with crush,conversation,TBD,Google autocomplete: conversation starters w,75,1600,0.05,LOW,27,not queried,available,有量候选，KD未查
relationship questions to ask,conversation,TBD,Google autocomplete: relationship questions,75,1600,0.13,MEDIUM,49,not queried,available,有量候选，KD未查
emotional unavailability in men,patterns,TBD,Google autocomplete: emotional unavailability,75,1600,0.1,LOW,20,not queried,available,有量候选，KD未查
conversation starters for your crush,conversation,TBD,Google autocomplete: conversation starters,75,1600,0.05,LOW,27,not queried,available,有量候选，KD未查
conversation starters with a crush,conversation,TBD,Google autocomplete: conversation starters with your crush,75,1600,0.05,LOW,27,not queried,available,有量候选，KD未查
what is he thinking,interest,TBD,round3 editorial seed,85,1300,,LOW,0,not queried,available,已进行哥飞SERP精评，见shortlist.csv
signs he loves you,interest,TBD,round3 editorial seed,85,1300,0.07,LOW,15,not queried,available,有量候选，KD未查
how to get to know someone,conversation,TBD,round3 editorial seed,75,1300,0.17,LOW,27,not queried,available,有量候选，KD未查
second date questions,dating,TBD,round3 editorial seed,75,1300,0.16,MEDIUM,35,not queried,available,有量候选，KD未查
good night text,textmeaning,TBD,round3 editorial seed,85,1300,0.07,LOW,17,not queried,available,有量候选，KD未查
what to text your crush,conversation,TBD,round3 editorial seed,75,1000,0.05,LOW,4,not queried,available,已进行哥飞SERP精评，见shortlist.csv
dating exclusively,dating,TBD,round3 editorial seed,75,1000,0.07,LOW,3,not queried,available,有量候选，KD未查
feeling lonely in a relationship,patterns,TBD,round3 editorial seed,75,1000,1.41,LOW,4,not queried,available,有量候选，KD未查
dating exclusively meaning,dating,TBD,Google autocomplete: dating exclusively,75,1000,2.31,LOW,4,not queried,available,有量候选，KD未查
conversation starters over text,conversation,TBD,Google autocomplete: conversation starters,75,1000,0.04,LOW,27,not queried,available,已进行哥飞SERP精评，见shortlist.csv
relationship questions for couples,conversation,TBD,Google autocomplete: relationship questions,75,1000,0.17,MEDIUM,57,not queried,available,有量候选，KD未查
what does he think of me,interest,TBD,round3 editorial seed,85,880,,LOW,0,not queried,available,已进行哥飞SERP精评，见shortlist.csv
signs of attraction,interest,TBD,round3 editorial seed,85,880,0.06,LOW,5,not queried,available,长尾/辅助候选，KD未查
third date,dating,TBD,round3 editorial seed,75,880,1.52,LOW,3,not queried,available,长尾/辅助候选，KD未查
relationship needs,patterns,TBD,round3 editorial seed,75,880,0.39,LOW,4,not queried,available,长尾/辅助候选，KD未查
when to end a relationship,breakup,TBD,round3 editorial seed,75,880,0.21,LOW,31,not queried,available,长尾/辅助候选，KD未查
signs a relationship is over,breakup,TBD,round3 editorial seed,75,880,0.28,LOW,31,not queried,available,长尾/辅助候选，KD未查
how to end a relationship,breakup,TBD,round3 editorial seed,75,880,0.25,LOW,17,not queried,available,长尾/辅助候选，KD未查
how to move on from someone,breakup,TBD,round3 editorial seed,75,880,0.86,LOW,30,not queried,available,长尾/辅助候选，KD未查
signs when a relationship is over,breakup,TBD,Google autocomplete: signs a relationship is over w,75,880,0.28,LOW,31,not queried,available,长尾/辅助候选，KD未查
what he thinks,interest,TBD,round3 editorial seed,85,720,,LOW,0,not queried,available,已进行哥飞SERP精评，见shortlist.csv
feeling disconnected from partner,patterns,TBD,round3 editorial seed,75,720,0.9,LOW,12,not queried,available,长尾/辅助候选，KD未查
emotional neglect in relationships,patterns,TBD,round3 editorial seed,75,720,1.03,LOW,3,not queried,available,长尾/辅助候选，KD未查
playful teasing,textmeaning,TBD,round3 editorial seed,85,720,,LOW,0,not queried,available,长尾/辅助候选，KD未查
emotional attraction,textmeaning,TBD,round3 editorial seed,85,720,0.11,LOW,1,not queried,available,长尾/辅助候选，KD未查
conversation starters adults,conversation,TBD,Google autocomplete: conversation starters a,75,720,0.58,MEDIUM,54,not queried,available,长尾/辅助候选，KD未查
talking stage questions to ask a guy,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: talking stage,80,720,0.05,LOW,30,not queried,available,长尾/辅助候选，KD未查
emotional unavailability signs,patterns,TBD,Google autocomplete: emotional unavailability,75,720,0.04,LOW,14,not queried,available,长尾/辅助候选，KD未查
emotional unavailability woman,patterns,TBD,Google autocomplete: emotional unavailability w,75,720,1.15,LOW,5,not queried,available,长尾/辅助候选，KD未查
casual dating website,dating,TBD,Google autocomplete: casual dating,75,720,6.32,MEDIUM,66,not queried,available,长尾/辅助候选，KD未查
conversation starters for adults,conversation,TBD,Google autocomplete: conversation starters,75,720,0.58,MEDIUM,54,not queried,available,长尾/辅助候选，KD未查
emotional unavailability in women,patterns,TBD,Google autocomplete: emotional unavailability,75,720,1.15,LOW,5,not queried,available,长尾/辅助候选，KD未查
how to start a conversation over text,conversation,TBD,round3 editorial seed,75,590,0.03,LOW,5,not queried,available,长尾/辅助候选，KD未查
how to respond to an apology,responses,TBD,round3 editorial seed,85,590,,LOW,0,not queried,available,长尾/辅助候选，KD未查
dating red flags,dating,TBD,round3 editorial seed,75,590,0.05,LOW,12,not queried,available,长尾/辅助候选，KD未查
left on delivered,distance,TBD,round3 editorial seed,85,590,0.04,LOW,0,not queried,available,长尾/辅助候选，KD未查
flirting signs,textmeaning,TBD,round3 editorial seed,85,590,0.07,LOW,6,not queried,available,长尾/辅助候选，KD未查
how to reply to an apology,responses,TBD,Google autocomplete: how to respond to an apology h,85,590,,LOW,0,not queried,available,长尾/辅助候选，KD未查
emotionally unavailable men signs,backlog-effort,TBD,unqueried backlog; Google autocomplete: emotionally unavailable men,80,590,0.11,LOW,23,not queried,available,长尾/辅助候选，KD未查
signs of attraction body language,interest,TBD,Google autocomplete: signs of attraction,85,590,0.06,LOW,9,not queried,available,长尾/辅助候选，KD未查
does he have feelings for me,interest,TBD,round3 editorial seed,85,480,0.3,LOW,0,not queried,available,长尾/辅助候选，KD未查
questions to ask before dating,conversation,TBD,round3 editorial seed,75,480,0.15,MEDIUM,40,not queried,available,长尾/辅助候选，KD未查
questions to ask in a new relationship,conversation,TBD,round3 editorial seed,75,480,0.11,MEDIUM,63,not queried,available,长尾/辅助候选，KD未查
how to respond to i miss you,responses,TBD,round3 editorial seed,85,480,,LOW,0,not queried,available,长尾/辅助候选，KD未查
he ignores me,distance,TBD,round3 editorial seed,85,480,,LOW,0,not queried,available,长尾/辅助候选，KD未查
why do i miss my ex,breakup,TBD,round3 editorial seed,75,480,0.13,LOW,3,not queried,available,长尾/辅助候选，KD未查
flirty banter,textmeaning,TBD,round3 editorial seed,85,480,,LOW,0,not queried,available,长尾/辅助候选，KD未查
chemistry between two people,textmeaning,TBD,round3 editorial seed,85,480,0.05,LOW,3,not queried,available,长尾/辅助候选，KD未查
thinking of you text,textmeaning,TBD,round3 editorial seed,85,480,0.26,LOW,6,not queried,available,长尾/辅助候选，KD未查
emotional unavailability meaning,patterns,TBD,Google autocomplete: emotional unavailability,75,480,0.05,LOW,9,not queried,available,长尾/辅助候选，KD未查
flirting examples text,textmeaning,TBD,Google autocomplete: flirting examples,85,480,0.21,LOW,8,not queried,available,长尾/辅助候选，KD未查
conversation starters with boyfriend,conversation,TBD,Google autocomplete: conversation starters w,75,480,0.09,MEDIUM,36,not queried,available,长尾/辅助候选，KD未查
conversation starters with girlfriend,conversation,TBD,Google autocomplete: conversation starters w,75,480,0.14,MEDIUM,41,not queried,available,长尾/辅助候选，KD未查
how to tell someone you're not interested,responses,TBD,Google autocomplete: how to tell someone you are not interested h,85,480,0.05,LOW,18,not queried,available,长尾/辅助候选，KD未查
signs of mutual attraction,interest,TBD,round3 editorial seed,85,390,0.06,LOW,10,not queried,available,长尾/辅助候选，KD未查
how to text a guy,conversation,TBD,round3 editorial seed,75,390,1.22,LOW,2,not queried,available,长尾/辅助候选，KD未查
how to respond to hey,responses,TBD,round3 editorial seed,85,390,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to respond to good morning text,responses,TBD,round3 editorial seed,85,390,0.06,LOW,3,not queried,available,长尾/辅助候选，KD未查
lack of communication in a relationship,patterns,TBD,round3 editorial seed,75,390,1.43,LOW,4,not queried,available,长尾/辅助候选，KD未查
relationship doubts,patterns,TBD,round3 editorial seed,75,390,0.09,LOW,2,not queried,available,长尾/辅助候选，KD未查
how to know if your ex still loves you,breakup,TBD,round3 editorial seed,75,390,1.42,LOW,10,not queried,available,长尾/辅助候选，KD未查
communication difficulties in relationships,backlog-effort,TBD,unqueried backlog; Google autocomplete: communication problems in relationships,80,390,3.55,LOW,18,not queried,available,长尾/辅助候选，KD未查
communication issues in relationships,backlog-effort,TBD,unqueried backlog; Google autocomplete: communication problems in relationships,80,390,3.55,LOW,18,not queried,available,长尾/辅助候选，KD未查
how to analyse texts,backlog-tools,TBD,unqueried backlog; Google autocomplete: chatgpt text analysis h,95,390,,LOW,0,not queried,available,长尾/辅助候选，KD未查
imessage group chat limit,backlog-tools,TBD,unqueried backlog; Google autocomplete: imessage chat statistics,80,390,,LOW,0,not queried,available,长尾/辅助候选，KD未查
dating relationship difference,dating,TBD,Google autocomplete: dating vs relationship h,75,390,0.05,LOW,8,not queried,available,长尾/辅助候选，KD未查
signs he wants to wife you,interest,TBD,Google autocomplete: signs he wants you w,85,390,0.13,LOW,6,not queried,available,长尾/辅助候选，KD未查
conversation starters husband and wife,conversation,TBD,Google autocomplete: conversation starters h,75,390,0.57,HIGH,78,not queried,available,长尾/辅助候选，KD未查
is he worth it,interest,TBD,round3 editorial seed,85,320,,LOW,0,not queried,available,长尾/辅助候选，KD未查
why men pull away,distance,TBD,round3 editorial seed,85,320,0.16,LOW,15,not queried,available,长尾/辅助候选，KD未查
why is he ignoring me,distance,TBD,round3 editorial seed,85,320,,LOW,1,not queried,available,长尾/辅助候选，KD未查
poor communication in relationships,patterns,TBD,round3 editorial seed,75,320,1.25,LOW,26,not queried,available,长尾/辅助候选，KD未查
effort in a relationship,patterns,TBD,round3 editorial seed,75,320,,LOW,0,not queried,available,长尾/辅助候选，KD未查
romantic chemistry,textmeaning,TBD,round3 editorial seed,85,320,0.06,LOW,0,not queried,available,长尾/辅助候选，KD未查
signs of attraction women,interest,TBD,Google autocomplete: signs of attraction w,85,320,0.08,LOW,10,not queried,available,长尾/辅助候选，KD未查
casual dating rules,dating,TBD,Google autocomplete: casual dating,75,320,0.06,LOW,4,not queried,available,长尾/辅助候选，KD未查
effective communication in relationships,backlog-effort,TBD,unqueried backlog; Google autocomplete: healthy communication in relationships,80,320,0.46,MEDIUM,42,not queried,available,长尾/辅助候选，KD未查
casual relationship rules,dating,TBD,Google autocomplete: casual relationship,75,320,0.06,LOW,4,not queried,available,长尾/辅助候选，KD未查
relationship needs list,patterns,TBD,Google autocomplete: relationship needs,75,320,9.47,LOW,3,not queried,available,长尾/辅助候选，KD未查
romantic attraction definition,textmeaning,TBD,Google autocomplete: romantic attraction,85,320,0.03,LOW,1,not queried,available,长尾/辅助候选，KD未查
signs of attraction from a guy,interest,TBD,Google autocomplete: signs of attraction,85,320,0.06,LOW,15,not queried,available,长尾/辅助候选，KD未查
signs of attraction from a man,interest,TBD,Google autocomplete: signs of attraction,85,320,0.06,LOW,15,not queried,available,长尾/辅助候选，KD未查
signs of attraction from a woman,interest,TBD,Google autocomplete: signs of attraction,85,320,0.08,LOW,10,not queried,available,长尾/辅助候选，KD未查
how to know if a date went well,dating,TBD,round3 editorial seed,75,260,0.05,LOW,6,not queried,available,长尾/辅助候选，KD未查
why do guys pull away,distance,TBD,round3 editorial seed,85,260,0.03,LOW,18,not queried,available,长尾/辅助候选，KD未查
bad relationship signs,patterns,TBD,Google autocomplete: unhealthy relationship signs,75,260,0.05,LOW,23,not queried,available,长尾/辅助候选，KD未查
is he just being nice or does he like me,backlog-backlog-interest,/does-he-like-me-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: is he just being nice h,80,260,0.14,LOW,12,not queried,available,长尾/辅助候选，KD未查
casual relationship definition,dating,TBD,Google autocomplete: casual relationship,75,260,,LOW,1,not queried,available,长尾/辅助候选，KD未查
flirt signals women,textmeaning,TBD,Google autocomplete: flirting signs w,85,260,0.08,LOW,10,not queried,available,长尾/辅助候选，KD未查
relationship needs checklist,patterns,TBD,Google autocomplete: relationship needs,75,260,0.05,LOW,4,not queried,available,长尾/辅助候选，KD未查
flirting signs women,textmeaning,TBD,Google autocomplete: flirting signs w,85,260,0.08,LOW,10,not queried,available,长尾/辅助候选，KD未查
does she have feelings for me,interest,TBD,Google autocomplete: does he have feelings for me,85,260,0.02,LOW,0,not queried,available,长尾/辅助候选，KD未查
relationship labels,dating,TBD,round3 editorial seed,75,210,,LOW,0,not queried,available,长尾/辅助候选，KD未查
when to define the relationship,dating,TBD,round3 editorial seed,75,210,0.08,LOW,3,not queried,available,长尾/辅助候选，KD未查
miss you text,textmeaning,TBD,round3 editorial seed,85,210,0.04,LOW,10,not queried,available,长尾/辅助候选，KD未查
hot and cold behavior psychology,backlog-signals,TBD,unqueried backlog; Google autocomplete: hot and cold behavior,80,210,,LOW,0,not queried,available,长尾/辅助候选，KD未查
does he find me attractive,interest,TBD,round3 editorial seed,85,170,0.03,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to tell if someone is flirting,interest,TBD,round3 editorial seed,85,170,0.06,LOW,7,not queried,available,长尾/辅助候选，KD未查
feeling unwanted in a relationship,patterns,TBD,round3 editorial seed,75,170,1.93,LOW,5,not queried,available,长尾/辅助候选，KD未查
how to get closure,breakup,TBD,round3 editorial seed,75,170,,LOW,2,not queried,available,长尾/辅助候选，KD未查
how to get a closure,breakup,TBD,Google autocomplete: how to get closure a,75,170,,LOW,2,not queried,available,长尾/辅助候选，KD未查
signs he secretly wants you,backlog-interest,TBD,unqueried backlog; Google autocomplete: signs he secretly likes you,80,170,0.03,LOW,5,not queried,available,长尾/辅助候选，KD未查
relationship hypothetical questions,conversation,TBD,Google autocomplete: relationship questions h,75,170,0.06,LOW,5,not queried,available,长尾/辅助候选，KD未查
having relationship doubts,patterns,TBD,Google autocomplete: relationship doubts,75,170,0.4,LOW,5,not queried,available,长尾/辅助候选，KD未查
left on delivered meaning,distance,TBD,Google autocomplete: left on delivered,85,170,0.03,LOW,1,not queried,available,长尾/辅助候选，KD未查
emotional intimacy in marriage,backlog-effort,TBD,unqueried backlog; Google autocomplete: emotional intimacy,80,170,1.14,MEDIUM,48,not queried,available,长尾/辅助候选，KD未查
conversation starters with strangers,conversation,TBD,Google autocomplete: conversation starters w,75,170,0.13,LOW,22,not queried,available,长尾/辅助候选，KD未查
exclusive vs relationship,dating,TBD,Google autocomplete: exclusive relationship h,75,170,0.03,LOW,7,not queried,available,长尾/辅助候选，KD未查
playful teasing examples,textmeaning,TBD,Google autocomplete: playful teasing,85,170,,LOW,1,not queried,available,长尾/辅助候选，KD未查
signs he loves you while cuddling,interest,TBD,Google autocomplete: signs he wants you w,85,170,0,LOW,2,not queried,available,长尾/辅助候选，KD未查
how to respond to a flirty text,responses,TBD,round3 editorial seed,85,140,0.04,LOW,1,not queried,available,长尾/辅助候选，KD未查
dating green flags,dating,TBD,round3 editorial seed,75,140,0.02,LOW,3,not queried,available,长尾/辅助候选，KD未查
he texts me everyday,distance,TBD,round3 editorial seed,85,140,,LOW,0,not queried,available,长尾/辅助候选，KD未查
lack of affection in a relationship,patterns,TBD,round3 editorial seed,75,140,0.05,LOW,7,not queried,available,长尾/辅助候选，KD未查
my ex texted me,breakup,TBD,round3 editorial seed,75,140,,LOW,0,not queried,available,长尾/辅助候选，KD未查
he calls me beautiful,textmeaning,TBD,round3 editorial seed,85,140,,LOW,0,not queried,available,长尾/辅助候选，KD未查
emotional attraction meaning,textmeaning,TBD,Google autocomplete: emotional attraction,85,140,,LOW,1,not queried,available,长尾/辅助候选，KD未查
casual relationship psychology,dating,TBD,Google autocomplete: casual relationship,75,140,,LOW,1,not queried,available,长尾/辅助候选，KD未查
signs he loves you secretly,interest,TBD,Google autocomplete: signs he loves you,85,140,0.05,LOW,12,not queried,available,长尾/辅助候选，KD未查
love compatibility signs,patterns,TBD,Google autocomplete: relationship compatibility signs,75,140,0.28,LOW,5,not queried,available,长尾/辅助候选，KD未查
flirty banter examples,textmeaning,TBD,Google autocomplete: flirty banter,85,140,0.28,LOW,1,not queried,available,长尾/辅助候选，KD未查
how to let go of him,breakup,TBD,Google autocomplete: how to let go of someone h,75,140,,LOW,6,not queried,available,长尾/辅助候选，KD未查
conversation starters at a party,conversation,TBD,Google autocomplete: conversation starters a,75,140,0.13,MEDIUM,50,not queried,available,长尾/辅助候选，KD未查
how to respond to hey on tinder,responses,TBD,Google autocomplete: how to respond to hey,85,140,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to detach from someone you love,breakup,TBD,Google autocomplete: how to detach from someone,75,140,0.22,LOW,29,not queried,available,长尾/辅助候选，KD未查
how to end a relationship by text,breakup,TBD,Google autocomplete: how to end a relationship,75,140,0.06,LOW,6,not queried,available,长尾/辅助候选，KD未查
what to do when someone ignores you,responses,TBD,Google autocomplete: what to say when someone ignores you a,85,140,0.93,LOW,3,not queried,available,长尾/辅助候选，KD未查
signs he wants you,interest,TBD,round3 editorial seed,85,110,0.05,LOW,7,not queried,available,长尾/辅助候选，KD未查
signs of a good first date,dating,TBD,round3 editorial seed,75,110,0.04,LOW,10,not queried,available,长尾/辅助候选，KD未查
inconsistent communication,patterns,TBD,round3 editorial seed,75,110,,LOW,0,not queried,available,长尾/辅助候选，KD未查
my ex wants to be friends,breakup,TBD,round3 editorial seed,75,110,0.04,LOW,10,not queried,available,长尾/辅助候选，KD未查
how to respond to heyy,responses,TBD,Google autocomplete: how to respond to hey,85,110,,LOW,0,not queried,available,长尾/辅助候选，KD未查
is no response a response,responses,TBD,Google autocomplete: how to respond to no response a,85,110,,LOW,0,not queried,available,长尾/辅助候选，KD未查
banter vs flirting,textmeaning,TBD,Google autocomplete: banter flirting,85,110,,LOW,0,not queried,available,长尾/辅助候选，KD未查
good relationship signs,patterns,TBD,Google autocomplete: healthy relationship signs,75,110,0.05,LOW,13,not queried,available,长尾/辅助候选，KD未查
how long should a talking stage last before dating,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: how long should the talking stage last a,80,110,,LOW,1,not queried,available,长尾/辅助候选，KD未查
conversation starters for wife,conversation,TBD,Google autocomplete: conversation starters for couples w,75,110,0.34,MEDIUM,48,not queried,available,长尾/辅助候选，KD未查
how to let go of her,breakup,TBD,Google autocomplete: how to let go of someone h,75,110,0.03,LOW,8,not queried,available,长尾/辅助候选，KD未查
how to respond to a hey text,responses,TBD,Google autocomplete: how to respond to hey a,85,110,,LOW,0,not queried,available,长尾/辅助候选，KD未查
exclusive dating websites,dating,TBD,Google autocomplete: dating exclusively w,75,110,12.46,HIGH,68,not queried,available,长尾/辅助候选，KD未查
conversation starters hinge,conversation,TBD,Google autocomplete: conversation starters h,75,90,0.05,LOW,13,not queried,available,长尾/辅助候选，KD未查
what is a one sided relationship called,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: one sided situationship a,80,90,,LOW,0,not queried,available,长尾/辅助候选，KD未查
does he even care about me,backlog-interest,TBD,unqueried backlog; Google autocomplete: does he care about me,80,90,,LOW,0,not queried,available,长尾/辅助候选，KD未查
does he miss me at all,backlog-interest,TBD,unqueried backlog; Google autocomplete: does he miss me,80,90,,LOW,0,not queried,available,长尾/辅助候选，KD未查
emotional connection in marriage,backlog-effort,TBD,unqueried backlog; Google autocomplete: emotional connection,80,90,0.41,LOW,32,not queried,available,长尾/辅助候选，KD未查
does he still care about me,backlog-interest,TBD,unqueried backlog; Google autocomplete: does he care about me,80,90,,LOW,0,not queried,available,长尾/辅助候选，KD未查
signs he loves you deeply,interest,TBD,Google autocomplete: signs he loves you,85,90,0.05,LOW,7,not queried,available,长尾/辅助候选，KD未查
is no response the best response,responses,TBD,Google autocomplete: how to respond to no response a,85,90,,LOW,0,not queried,available,长尾/辅助候选，KD未查
signs he wants you badly,interest,TBD,Google autocomplete: signs he wants you,85,90,,LOW,1,not queried,available,长尾/辅助候选，KD未查
conversation starters for women,conversation,TBD,Google autocomplete: conversation starters for couples w,75,90,0.06,MEDIUM,44,not queried,available,长尾/辅助候选，KD未查
how long should the talking stage last long distance,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: how long should the talking stage last,80,90,0.03,LOW,1,not queried,available,长尾/辅助候选，KD未查
