keyword,cluster,page,source,business_fit,search_volume_us,cpc_usd,paid_competition,paid_competition_index,seo_kd,metric_status
when to text after a first date,texting,TBD,editorial competitor-adjacent seed,80,390,0.02,LOW,5,not queried,available
good morning texts meaning,texting,TBD,editorial competitor-adjacent seed,80,10,,LOW,0,not queried,available
good night texts meaning,texting,TBD,editorial competitor-adjacent seed,80,,,,,not queried,unavailable (not zero)
he only texts when i stop texting,texting,TBD,editorial competitor-adjacent seed,80,,,,,not queried,unavailable (not zero)
he watches my stories but doesnt text,texting,TBD,editorial competitor-adjacent seed,80,,,,,not queried,unavailable (not zero)
he is online but not replying,texting,TBD,editorial competitor-adjacent seed,80,10,,LOW,0,not queried,available
signs a guy likes you,interest,TBD,editorial competitor-adjacent seed,80,4400,0.09,LOW,10,not queried,available
signs he likes you but is hiding it,interest,TBD,editorial competitor-adjacent seed,80,590,0.09,LOW,8,not queried,available
signs he secretly likes you,interest,TBD,editorial competitor-adjacent seed,80,170,0.06,LOW,6,not queried,available
signs he likes you more than a friend,interest,TBD,editorial competitor-adjacent seed,80,170,0.04,LOW,20,not queried,available
signs he is not interested,interest,TBD,editorial competitor-adjacent seed,80,20,0.06,LOW,8,not queried,available
signs he is just not that into you,interest,TBD,editorial competitor-adjacent seed,80,10,,LOW,20,not queried,available
signs he is using you,interest,TBD,editorial competitor-adjacent seed,80,50,,LOW,10,not queried,available
does he love me,interest,TBD,editorial competitor-adjacent seed,80,4400,0.99,LOW,1,not queried,available
does he miss me,interest,TBD,editorial competitor-adjacent seed,80,2400,10.88,LOW,0,not queried,available
does he care about me,interest,TBD,editorial competitor-adjacent seed,80,480,0.03,LOW,0,not queried,available
is he playing me,interest,TBD,editorial competitor-adjacent seed,80,110,,LOW,0,not queried,available
is he leading me on,interest,TBD,editorial competitor-adjacent seed,80,40,,LOW,0,not queried,available
am i being led on,interest,TBD,editorial competitor-adjacent seed,80,40,,LOW,0,not queried,available
is he stringing me along,interest,TBD,editorial competitor-adjacent seed,80,30,,LOW,0,not queried,available
signs he wants a relationship,interest,TBD,editorial competitor-adjacent seed,80,40,0.07,LOW,8,not queried,available
signs he wants something serious,interest,TBD,editorial competitor-adjacent seed,80,10,,LOW,0,not queried,available
signs he is emotionally invested,interest,TBD,editorial competitor-adjacent seed,80,10,,,,not queried,available
signs he is catching feelings,interest,TBD,editorial competitor-adjacent seed,80,10,,LOW,0,not queried,available
is he flirting,interest,TBD,editorial competitor-adjacent seed,80,320,0.09,LOW,0,not queried,available
flirting over text,interest,TBD,editorial competitor-adjacent seed,80,480,0.1,LOW,4,not queried,available
flirty texts,interest,TBD,editorial competitor-adjacent seed,80,4400,0.16,LOW,8,not queried,available
flirty text messages,interest,TBD,editorial competitor-adjacent seed,80,4400,0.16,LOW,8,not queried,available
how to flirt over text,interest,TBD,editorial competitor-adjacent seed,80,,,,,not queried,unavailable (not zero)
flirting vs being friendly,interest,TBD,editorial competitor-adjacent seed,80,90,,LOW,2,not queried,available
one sided relationship,effort,TBD,editorial competitor-adjacent seed,80,2400,0.31,LOW,2,not queried,available
one sided relationship signs,effort,TBD,editorial competitor-adjacent seed,80,260,0.53,LOW,8,not queried,available
one sided love,effort,TBD,editorial competitor-adjacent seed,80,1300,0.03,LOW,0,not queried,available
unequal effort in a relationship,effort,TBD,editorial competitor-adjacent seed,80,,,,,not queried,unavailable (not zero)
lack of effort in a relationship,effort,TBD,editorial competitor-adjacent seed,80,320,,LOW,0,not queried,available
bare minimum in a relationship,effort,TBD,editorial competitor-adjacent seed,80,1000,,LOW,1,not queried,available
reciprocity in relationships,effort,TBD,editorial competitor-adjacent seed,80,880,2.08,LOW,1,not queried,available
emotional availability,effort,TBD,editorial competitor-adjacent seed,80,1900,0.05,LOW,1,not queried,available
emotionally unavailable men,effort,TBD,editorial competitor-adjacent seed,80,1600,0.1,LOW,20,not queried,available
emotionally unavailable partner,effort,TBD,editorial competitor-adjacent seed,80,210,0.61,LOW,10,not queried,available
emotional connection,effort,TBD,editorial competitor-adjacent seed,80,2900,0.24,LOW,4,not queried,available
emotional intimacy,effort,TBD,editorial competitor-adjacent seed,80,6600,0.5,LOW,4,not queried,available
emotional distance in a relationship,effort,TBD,editorial competitor-adjacent seed,80,140,0.06,LOW,2,not queried,available
emotional needs in a relationship,effort,TBD,editorial competitor-adjacent seed,80,480,1.02,LOW,6,not queried,available
relationship uncertainty,effort,TBD,editorial competitor-adjacent seed,80,170,0.15,LOW,2,not queried,available
relationship clarity,effort,TBD,editorial competitor-adjacent seed,80,20,,LOW,1,not queried,available
relationship communication,effort,TBD,editorial competitor-adjacent seed,80,2400,2.13,LOW,29,not queried,available
communication problems in relationships,effort,TBD,editorial competitor-adjacent seed,80,390,3.55,LOW,18,not queried,available
healthy communication in relationships,effort,TBD,editorial competitor-adjacent seed,80,480,4.48,MEDIUM,36,not queried,available
relationship check in questions,effort,TBD,editorial competitor-adjacent seed,80,1300,0.14,LOW,15,not queried,available
relationship expectations,effort,TBD,editorial competitor-adjacent seed,80,1600,0.8,LOW,5,not queried,available
relationship boundaries,effort,TBD,editorial competitor-adjacent seed,80,8100,1.86,LOW,15,not queried,available
red flags in a relationship,signals,TBD,editorial competitor-adjacent seed,80,9900,0.49,LOW,23,not queried,available
green flags in a relationship,signals,TBD,editorial competitor-adjacent seed,80,2900,0.25,LOW,8,not queried,available
red flags in men,signals,TBD,editorial competitor-adjacent seed,80,8100,0.18,LOW,15,not queried,available
green flags in men,signals,TBD,editorial competitor-adjacent seed,80,1300,0.03,LOW,3,not queried,available
texting red flags,signals,TBD,editorial competitor-adjacent seed,80,20,,LOW,0,not queried,available
love bombing,signals,TBD,editorial competitor-adjacent seed,80,110000,0.96,LOW,7,not queried,available
love bombing signs,signals,TBD,editorial competitor-adjacent seed,80,3600,0.52,LOW,22,not queried,available
love bombing examples,signals,TBD,editorial competitor-adjacent seed,80,5400,0.64,LOW,20,not queried,available
love bombing vs genuine interest,signals,TBD,editorial competitor-adjacent seed,80,590,0.17,LOW,16,not queried,available
love bombing texts,signals,TBD,editorial competitor-adjacent seed,80,50,,LOW,0,not queried,available
future faking,signals,TBD,editorial competitor-adjacent seed,80,4400,0.63,LOW,3,not queried,available
future faking examples,signals,TBD,editorial competitor-adjacent seed,80,110,0.03,LOW,10,not queried,available
hot and cold behavior,signals,TBD,editorial competitor-adjacent seed,80,480,,LOW,0,not queried,available
push pull relationship,signals,TBD,editorial competitor-adjacent seed,80,1300,,LOW,0,not queried,available
benching in dating,signals,TBD,editorial competitor-adjacent seed,80,110,0.03,LOW,4,not queried,available
orbiting meaning dating,signals,TBD,editorial competitor-adjacent seed,80,20,,LOW,3,not queried,available
paperclipping dating,signals,TBD,editorial competitor-adjacent seed,80,20,,LOW,1,not queried,available
pocketing dating,signals,TBD,editorial competitor-adjacent seed,80,40,,LOW,1,not queried,available
zombieing dating,signals,TBD,editorial competitor-adjacent seed,80,90,,LOW,0,not queried,available
situationship signs,signals,TBD,editorial competitor-adjacent seed,80,50,,LOW,2,not queried,available
situationship vs friends with benefits,signals,TBD,editorial competitor-adjacent seed,80,1600,0.04,LOW,1,not queried,available
how to end a situationship,signals,TBD,editorial competitor-adjacent seed,80,390,0.04,LOW,6,not queried,available
how to get over a situationship,signals,TBD,editorial competitor-adjacent seed,80,390,0.18,LOW,13,not queried,available
how to turn a situationship into a relationship,signals,TBD,editorial competitor-adjacent seed,80,70,,LOW,2,not queried,available
no contact rule,ex,TBD,editorial competitor-adjacent seed,80,1300,1.12,LOW,7,not queried,available
no contact rule after breakup,ex,TBD,editorial competitor-adjacent seed,80,170,0.05,LOW,15,not queried,available
does no contact work,ex,TBD,editorial competitor-adjacent seed,80,480,0.09,LOW,3,not queried,available
what to do when your ex texts you,ex,TBD,editorial competitor-adjacent seed,80,70,,LOW,0,not queried,available
how to respond to an ex,ex,TBD,editorial competitor-adjacent seed,80,30,,LOW,0,not queried,available
ex texts out of the blue,ex,TBD,editorial competitor-adjacent seed,80,10,,,,not queried,available
ex wants to meet up,ex,TBD,editorial competitor-adjacent seed,80,30,,LOW,0,not queried,available
ex says happy birthday,ex,TBD,editorial competitor-adjacent seed,80,10,,LOW,0,not queried,available
ex reaching out for closure,ex,TBD,editorial competitor-adjacent seed,80,,,,,not queried,unavailable (not zero)
closure after breakup,ex,TBD,editorial competitor-adjacent seed,80,70,5.59,LOW,5,not queried,available
mixed signals from ex,ex,TBD,editorial competitor-adjacent seed,80,40,,LOW,0,not queried,available
signs your ex still loves you,ex,TBD,editorial competitor-adjacent seed,80,260,0.04,LOW,9,not queried,available
signs your ex misses you,ex,TBD,editorial competitor-adjacent seed,80,110,,LOW,3,not queried,available
signs your ex has moved on,ex,TBD,editorial competitor-adjacent seed,80,50,,LOW,1,not queried,available
should i text my ex,ex,TBD,editorial competitor-adjacent seed,80,1600,0.48,LOW,9,not queried,available
should i get back with my ex,ex,TBD,editorial competitor-adjacent seed,80,1000,0.99,LOW,11,not queried,available
long distance relationship,long-distance,TBD,editorial competitor-adjacent seed,80,14800,0.57,LOW,9,not queried,available
long distance relationship communication,long-distance,TBD,editorial competitor-adjacent seed,80,1000,0.62,LOW,7,not queried,available
long distance relationship texting,long-distance,TBD,editorial competitor-adjacent seed,80,140,0.14,LOW,3,not queried,available
long distance relationship red flags,long-distance,TBD,editorial competitor-adjacent seed,80,90,0.04,LOW,9,not queried,available
long distance relationship questions,long-distance,TBD,editorial competitor-adjacent seed,80,390,0.13,LOW,31,not queried,available
long distance relationship losing interest,long-distance,TBD,editorial competitor-adjacent seed,80,10,,LOW,0,not queried,available
how often should long distance couples talk,long-distance,TBD,editorial competitor-adjacent seed,80,30,,LOW,0,not queried,available
boyfriend stopped texting,long-distance,TBD,editorial competitor-adjacent seed,80,10,,LOW,0,not queried,available
boyfriend ignoring texts,long-distance,TBD,editorial competitor-adjacent seed,80,10,,LOW,0,not queried,available
boyfriend emotionally distant,long-distance,TBD,editorial competitor-adjacent seed,80,10,,LOW,2,not queried,available
husband emotionally distant,long-distance,TBD,editorial competitor-adjacent seed,80,260,0.45,LOW,13,not queried,available
how to ask where a relationship is going,long-distance,TBD,editorial competitor-adjacent seed,80,20,,LOW,0,not queried,available
one sided friendship,friendship-expansion,TBD,editorial competitor-adjacent seed,40,1900,0.44,LOW,3,not queried,available
signs of a one sided friendship,friendship-expansion,TBD,editorial competitor-adjacent seed,40,170,0.06,LOW,4,not queried,available
friendship red flags,friendship-expansion,TBD,editorial competitor-adjacent seed,40,320,0.07,LOW,3,not queried,available
toxic friendship signs,friendship-expansion,TBD,editorial competitor-adjacent seed,40,1300,0.32,LOW,13,not queried,available
friendship compatibility,friendship-expansion,TBD,editorial competitor-adjacent seed,40,390,,LOW,0,not queried,available
friendship test,friendship-expansion,TBD,editorial competitor-adjacent seed,40,4400,2.98,LOW,1,not queried,available
best friend quiz,friendship-expansion,TBD,editorial competitor-adjacent seed,40,5400,0.12,LOW,1,not queried,available
friendship communication,friendship-expansion,TBD,editorial competitor-adjacent seed,40,90,,LOW,0,not queried,available
friendship falling apart,friendship-expansion,TBD,editorial competitor-adjacent seed,40,30,,LOW,0,not queried,available
friend stopped texting,friendship-expansion,TBD,editorial competitor-adjacent seed,40,,,,,not queried,unavailable (not zero)
friendship analyzer,friendship-expansion,TBD,editorial competitor-adjacent seed,40,10,,LOW,0,not queried,available
group chat analyzer,friendship-expansion,TBD,editorial competitor-adjacent seed,40,10,,LOW,29,not queried,available
group chat statistics,friendship-expansion,TBD,editorial competitor-adjacent seed,40,,,,,not queried,unavailable (not zero)
group chat personality,friendship-expansion,TBD,editorial competitor-adjacent seed,40,,,,,not queried,unavailable (not zero)
chat roast,friendship-expansion,TBD,editorial competitor-adjacent seed,40,20,,LOW,3,not queried,available
roast my chat,friendship-expansion,TBD,editorial competitor-adjacent seed,40,,,,,not queried,unavailable (not zero)
whatsapp wrapped,friendship-expansion,TBD,editorial competitor-adjacent seed,40,30,,LOW,0,not queried,available
imessage wrapped,friendship-expansion,TBD,editorial competitor-adjacent seed,40,210,,LOW,1,not queried,available
chat wrapped,friendship-expansion,TBD,editorial competitor-adjacent seed,40,210,,LOW,0,not queried,available
relationship wrapped,friendship-expansion,TBD,editorial competitor-adjacent seed,40,20,,LOW,0,not queried,available
family communication,friendship-expansion,TBD,editorial competitor-adjacent seed,40,880,17.42,LOW,1,not queried,available
family group chat,friendship-expansion,TBD,editorial competitor-adjacent seed,40,480,,LOW,0,not queried,available
ai chat analyzer,tools,TBD,editorial competitor-adjacent seed,95,30,9.55,MEDIUM,59,not queried,available
ai text message analyzer,tools,TBD,editorial competitor-adjacent seed,95,40,3.81,LOW,30,not queried,available
ai relationship advice,tools,TBD,editorial competitor-adjacent seed,80,480,3.09,MEDIUM,48,not queried,available
relationship advice ai,tools,TBD,editorial competitor-adjacent seed,80,480,4.1,MEDIUM,35,not queried,available
relationship compatibility test,tools,TBD,editorial competitor-adjacent seed,60,1300,1.93,LOW,10,not queried,available
relationship test,tools,TBD,editorial competitor-adjacent seed,60,1300,1.74,LOW,23,not queried,available
relationship quiz,tools,TBD,editorial competitor-adjacent seed,60,2900,3.11,LOW,13,not queried,available
love calculator,tools,TBD,editorial competitor-adjacent seed,60,74000,2.04,LOW,0,not queried,available
love compatibility test,tools,TBD,editorial competitor-adjacent seed,60,2400,1.63,LOW,7,not queried,available
crush calculator,tools,TBD,editorial competitor-adjacent seed,60,1000,,LOW,0,not queried,available
crush test,tools,TBD,editorial competitor-adjacent seed,60,4400,2.45,LOW,3,not queried,available
texting compatibility,tools,TBD,editorial competitor-adjacent seed,80,10,,LOW,0,not queried,available
relationship compatibility,tools,TBD,editorial competitor-adjacent seed,80,1600,1.39,LOW,2,not queried,available
couple compatibility test,tools,TBD,editorial competitor-adjacent seed,60,1900,1.82,LOW,17,not queried,available
chatgpt relationship advice,tools,TBD,editorial competitor-adjacent seed,80,320,1.64,LOW,19,not queried,available
analyze relationship with chatgpt,tools,TBD,editorial competitor-adjacent seed,95,,,,,not queried,unavailable (not zero)
chatgpt text analysis,tools,TBD,editorial competitor-adjacent seed,95,50,1.89,LOW,6,not queried,available
whatsapp analyzer,tools,TBD,editorial competitor-adjacent seed,95,140,,LOW,0,not queried,available
whatsapp stats,tools,TBD,editorial competitor-adjacent seed,95,30,,LOW,0,not queried,available
imessage analyzer,tools,TBD,editorial competitor-adjacent seed,95,50,,LOW,2,not queried,available
imessage chat statistics,tools,TBD,editorial competitor-adjacent seed,95,,,,,not queried,unavailable (not zero)
text message statistics,tools,TBD,editorial competitor-adjacent seed,95,50,,LOW,5,not queried,available
conversation analysis ai,tools,TBD,editorial competitor-adjacent seed,95,20,10.5,HIGH,72,not queried,available
relationship red flag checker,tools,TBD,editorial competitor-adjacent seed,80,,,,,not queried,unavailable (not zero)
text message decoder,tools,TBD,editorial competitor-adjacent seed,95,50,,LOW,0,not queried,available
what does this text mean,tools,TBD,editorial competitor-adjacent seed,80,880,3.87,LOW,0,not queried,available
text tone analyzer,tools,TBD,editorial competitor-adjacent seed,95,20,,LOW,0,not queried,available
talking stage advice,talking-stage,TBD,Google autocomplete: talking stage a,80,40,,LOW,0,not queried,available
ghosting definition,ghosting,TBD,Google autocomplete: ghosting,80,4400,0.03,LOW,2,not queried,available
annoying texting habits,texting,TBD,Google autocomplete: texting habits a,80,30,,LOW,0,not queried,available
flirting vs friendly,interest,TBD,Google autocomplete: flirting vs being friendly a,80,260,0.1,LOW,1,not queried,available
clarity about relationship,effort,TBD,Google autocomplete: relationship clarity a,80,,,,,not queried,unavailable (not zero)
orbiting slang,signals,TBD,Google autocomplete: orbiting meaning dating,80,40,,LOW,0,not queried,available
ex birthday wishes,ex,TBD,Google autocomplete: ex says happy birthday,80,90,,LOW,7,not queried,available
boyfriend emotionally detached,long-distance,TBD,Google autocomplete: boyfriend emotionally distant,80,10,,LOW,7,not queried,available
friendship tester,friendship-expansion,TBD,Google autocomplete: friendship test,40,4400,2.98,LOW,1,not queried,available
crush tester,tools,TBD,Google autocomplete: crush test,60,4400,2.45,LOW,3,not queried,available
why is he not interested in me anymore,backlog-interest,/does-he-like-me-text-analyzer,unqueried first-round backlog; Google autocomplete: is he interested in me w,80,10,,LOW,0,not queried,available
why he doesn't ask me questions,backlog-losing,/is-he-losing-interest,unqueried first-round backlog; Google autocomplete: he never asks me questions w,80,10,,LOW,0,not queried,available
he leaves me on read then replies later,backlog-mixed,/mixed-signals-text-analyzer,unqueried first-round backlog; Google autocomplete: he leaves me on read,80,10,,LOW,0,not queried,available
does my situationship actually like me,backlog-situationship,/situationship-analyzer,unqueried first-round backlog; Google autocomplete: does my situationship like me a,80,,,,,not queried,unavailable (not zero)
he keeps coming back but won t commit,backlog-breadcrumb,/breadcrumbing-test,unqueried first-round backlog; Google autocomplete: he keeps coming back but wont commit,80,10,,LOW,3,not queried,available
ex is hot and cold with me,backlog-ex,/ex-text-analyzer,unqueried first-round backlog; Google autocomplete: ex hot and cold w,80,10,,LOW,0,not queried,available
why should i always text first,backlog-initiation,/tools/who-texts-first,unqueried first-round backlog; Google autocomplete: i always text first w,80,,,,,not queried,unavailable (not zero)
why is it taking so long to reply,backlog-reply,/tools/reply-time-calculator,unqueried first-round backlog; Google autocomplete: why does he take so long to reply,80,,,,,not queried,unavailable (not zero)
talking stage ai,talking-stage,TBD,Google autocomplete: talking stage a,80,,,,,not queried,unavailable (not zero)
ghosting habit,ghosting,TBD,Google autocomplete: ghosting h,80,,,,,not queried,unavailable (not zero)
bad texting chemistry,texting,TBD,Google autocomplete: texting chemistry,80,10,,LOW,0,not queried,available
flirty text hello,interest,TBD,Google autocomplete: flirty texts h,80,,,,,not queried,unavailable (not zero)
clarity relationship app,effort,TBD,Google autocomplete: relationship clarity a,80,,,,,not queried,unavailable (not zero)
define future faking,signals,TBD,Google autocomplete: future faking h,80,40,,LOW,2,not queried,available
mixed signals examples,ex,TBD,Google autocomplete: mixed signals from ex,80,40,,LOW,1,not queried,available
boyfriend emotionally unavailable,long-distance,TBD,Google autocomplete: boyfriend emotionally distant,80,110,0.04,LOW,10,not queried,available
roast chats,friendship-expansion,TBD,Google autocomplete: chat roast h,40,50,,LOW,0,not queried,available
relationship quizzes,tools,TBD,Google autocomplete: relationship quiz,60,2900,3.11,LOW,13,not queried,available
why is he suddenly interested in me again,backlog-interest,/does-he-like-me-text-analyzer,unqueried first-round backlog; Google autocomplete: is he interested in me a,80,10,,LOW,0,not queried,available
why he just stopped texting me,backlog-losing,/is-he-losing-interest,unqueried first-round backlog; Google autocomplete: he stopped texting me w,80,10,,,,not queried,available
he left me on delivered for 24 hours,backlog-mixed,/mixed-signals-text-analyzer,unqueried first-round backlog; Google autocomplete: he leaves me on delivered,80,20,,LOW,0,not queried,available
does my situationship like me quiz,backlog-situationship,/situationship-analyzer,unqueried first-round backlog; Google autocomplete: does my situationship like me,60,10,,LOW,0,not queried,available
how to deal with breadcrumbing in a relationship,backlog-breadcrumb,/breadcrumbing-test,unqueried first-round backlog; Google autocomplete: how to respond to breadcrumbing w,80,10,,LOW,29,not queried,available
ex reached out but has a boyfriend,backlog-ex,/ex-text-analyzer,unqueried first-round backlog; Google autocomplete: ex reaching out h,80,,,,,not queried,unavailable (not zero)
double texting after being left on read,backlog-initiation,/tools/who-texts-first,unqueried first-round backlog; Google autocomplete: double texting a,80,10,,LOW,0,not queried,available
how long to wait to message back on hinge,backlog-reply,/tools/reply-time-calculator,unqueried first-round backlog; Google autocomplete: how long to wait for a text back h,80,,,,,not queried,unavailable (not zero)
talking stage anxiety,talking-stage,TBD,Google autocomplete: talking stage a,80,10,,LOW,0,not queried,available
ghosting hinge,ghosting,TBD,Google autocomplete: ghosting h,80,30,0.15,HIGH,80,not queried,available
double texting tips,texting,TBD,Google autocomplete: double texting rules,80,,,,,not queried,unavailable (not zero)
flirty text help,interest,TBD,Google autocomplete: flirty texts h,80,,,,,not queried,unavailable (not zero)
connection and clarity,effort,TBD,Google autocomplete: relationship clarity a,80,10,0.64,HIGH,77,not queried,available
future faking article,signals,TBD,Google autocomplete: future faking a,80,,,,,not queried,unavailable (not zero)
closure after a breakup,ex,TBD,Google autocomplete: closure after breakup a,80,70,5.59,LOW,5,not queried,available
husband emotionally absent,long-distance,TBD,Google autocomplete: husband emotionally distant,80,720,0.3,LOW,22,not queried,available
ai roast chatgpt,friendship-expansion,TBD,Google autocomplete: chat roast a,40,,,,,not queried,unavailable (not zero)
relationship tester,tools,TBD,Google autocomplete: relationship test,60,1300,1.74,LOW,23,not queried,available
does he like me as a friend or more,backlog-interest,/does-he-like-me-text-analyzer,unqueried first-round backlog; Google autocomplete: does he like me a,80,260,0.06,LOW,8,not queried,available
why he never asks me questions,backlog-losing,/is-he-losing-interest,unqueried first-round backlog; Google autocomplete: he never asks me questions w,80,10,,,,not queried,available
he left me on delivered for a day,backlog-mixed,/mixed-signals-text-analyzer,unqueried first-round backlog; Google autocomplete: he leaves me on delivered a,80,10,,LOW,0,not queried,available
does my situationship love me quiz,backlog-situationship,/situationship-analyzer,unqueried first-round backlog; Google autocomplete: does my situationship like me,60,,,,,not queried,unavailable (not zero)
how to respond to breadcrumbing from a guy,backlog-breadcrumb,/breadcrumbing-test,unqueried first-round backlog; Google autocomplete: how to respond to breadcrumbing,80,,,,,not queried,unavailable (not zero)
ex reached out for help after years,backlog-ex,/ex-text-analyzer,unqueried first-round backlog; Google autocomplete: ex reaching out h,80,,,,,not queried,unavailable (not zero)
he always responds but never initiates conversation,backlog-initiation,/tools/who-texts-first,unqueried first-round backlog; Google autocomplete: he replies but never initiates,80,,,,,not queried,unavailable (not zero)
if i left you on read here's why meaning,backlog-reply,/tools/reply-time-calculator,unqueried first-round backlog; Google autocomplete: left on read meaning w,80,10,,,,not queried,available
talking stage app,talking-stage,TBD,Google autocomplete: talking stage a,80,10,,LOW,0,not queried,available
ghosting hurts,ghosting,TBD,Google autocomplete: ghosting h,80,40,,LOW,3,not queried,available
dry texter ai,texting,TBD,Google autocomplete: dry texter a,80,10,,,,not queried,available
flirty text helper,interest,TBD,Google autocomplete: flirty texts h,80,,,,,not queried,unavailable (not zero)
couples communication activities,effort,TBD,Google autocomplete: relationship communication a,80,1000,2.61,MEDIUM,38,not queried,available
future faking dating,signals,TBD,Google autocomplete: future faking,80,10,,LOW,3,not queried,available
closure after breakup meaning,ex,TBD,Google autocomplete: closure after breakup,80,,,,,not queried,unavailable (not zero)
husband emotionally detached,long-distance,TBD,Google autocomplete: husband emotionally distant,80,260,0.45,LOW,13,not queried,available
chat roast ai,friendship-expansion,TBD,Google autocomplete: chat roast a,40,,,,,not queried,unavailable (not zero)
ai conversation analyzer,tools,TBD,Google autocomplete: ai chat analyzer,95,20,6.15,HIGH,68,not queried,available
